Palavra;Frequencia
allowed;1
evolved;1
Basics;2
introduced;2
investigated;1
younger;1
planning;1
Project;2
cartridge;1
Game;1
poorly;1
flight;1
deal;1
access;1
entertainment;1
least;1
students;2
commodities;1
dollars;1
Geneva;1
shares;1
defense;1
systems;1
popularity;1
Linden;1
currency;1
Based;1
popular;1
kids;1
Players;1
genetic;1
scoring;1
business;1
started;1
services;1
combined;1
under;1
practiced;1
medical;1
added;1
emergency;1
incorporate;1
serious;4
which;5
actual;3
educational;4
engineering;1
users;1
tests;1
especially;1
University;1
role-playing;1
paper-based;2
exchangeable;1
virtual;1
trained;1
applied;1
idea;1
needed;1
book;2
for;4
aspects;1
video;1
pure;1
LeapFrog;1
content;1
standardized;1
astronomers;1
early;1
multiplayer;1
types;1
citation;1
was;5
reading;1
arcade;1
mini-game;1
massively;1
with;5
electives;1
refer;1
management;1
learner;1
warehoused;1
play;1
education;1
called;1
simulation;3
interactive;1
circles;1
focus;1
arithmetic;1
competition;1
when;1
computer-based;1
games;8
Back;2
cataloging;1
model;1
1960s;1
utilized;1
in;9
researchers;1
is;3
samples;1
traditional;2
system;3
atypical;1
Life;1
style;2
Enterprises;1
astrological;1
primary;1
care;1
acting;1
prepended;1
explicitly;1
intensify;1
city;1
emphasizes;1
teaching;3
vehicle;1
writing;1
Nintendo's;1
gaming;4
geneticists;1
within;1
could;1
change;1
health;1
curriculum;1
generally;2
century;1
exploring;1
assess;1
industries;1
Online;1
movement;3
MMORPG;1
fun;1
data;3
launched;2
hand-held;3
that;1
than;1
create;1
different;1
took;1
citizen;1
exploration;1
including;1
like;3
surge;1
format;1
Discovery;2
Boy;1
pedagogical;1
both;1
economies;1
efforts;1
Eve;1
scientists;2
were;3
since;1
politics;1
became;1
game;5
Leapster;1
purpose;1
scientific;1
cartridge-based;1
interact;1
integrated;1
can;1
adjective;1
twentieth;1
public;1
flagged;1
LeapPad;1
designed;2
value;1
categorize;1
console;1
saw;1
also;1
contained;1
