date,value
2012-05-20,3
2012-05-27,3
2012-06-03,3
2012-06-10,5
2012-06-17,7
2012-06-24,59
2012-07-01,8
2012-07-08,4
2012-07-15,3
2012-07-22,3
2012-07-29,2
2012-08-05,2
2012-08-12,2
2012-08-19,2
2012-08-26,2
2012-09-02,2
2012-09-09,2
2012-09-16,2
2012-09-23,2
2012-09-30,2
2012-10-07,2
2012-10-14,2
2012-10-21,2
2012-10-28,2
2012-11-04,2
2012-11-11,2
2012-11-18,2
2012-11-25,2
2012-12-02,2
2012-12-09,2
2012-12-16,2
2012-12-23,2
2012-12-30,2
2013-01-06,2
2013-01-13,2
2013-01-20,3
2013-01-27,2
2013-02-03,4
2013-02-10,3
2013-02-17,4
2013-02-24,4
2013-03-03,5
2013-03-10,10
2013-03-17,4
2013-03-24,4
2013-03-31,4
2013-04-07,4
2013-04-14,5
2013-04-21,6
2013-04-28,8
2013-05-05,12
2013-05-12,100
2013-05-19,12
2013-05-26,5
2013-06-02,4
2013-06-09,3
2013-06-16,3
2013-06-23,2
2013-06-30,2
2013-07-07,3
2013-07-14,2
2013-07-21,2
2013-07-28,2
2013-08-04,2
2013-08-11,2
2013-08-18,2
2013-08-25,2
2013-09-01,2
2013-09-08,2
2013-09-15,2
2013-09-22,2
2013-09-29,2
2013-10-06,2
2013-10-13,2
2013-10-20,2
2013-10-27,2
2013-11-03,2
2013-11-10,2
2013-11-17,2
2013-11-24,2
2013-12-01,2
2013-12-08,2
2013-12-15,2
2013-12-22,2
2013-12-29,2
2014-01-05,2
2014-01-12,2
2014-01-19,2
2014-01-26,2
2014-02-02,2
2014-02-09,2
2014-02-16,3
2014-02-23,3
2014-03-02,3
2014-03-09,3
2014-03-16,3
2014-03-23,3
2014-03-30,3
2014-04-06,4
2014-04-13,8
2014-04-20,4
2014-04-27,3
2014-05-04,3
2014-05-11,4
2014-05-18,3
2014-05-25,4
2014-06-01,7
2014-06-08,7
2014-06-15,9
2014-06-22,75
2014-06-29,8
2014-07-06,4
2014-07-13,3
2014-07-20,3
2014-07-27,2
2014-08-03,2
2014-08-10,2
2014-08-17,2
2014-08-24,2
2014-08-31,2
2014-09-07,2
2014-09-14,2
2014-09-21,2
2014-09-28,2
2014-10-05,2
2014-10-12,2
2014-10-19,2
2014-10-26,2
2014-11-02,2
2014-11-09,2
2014-11-16,2
2014-11-23,2
2014-11-30,2
2014-12-07,2
2014-12-14,2
2014-12-21,1
2014-12-28,2
2015-01-04,2
2015-01-11,2
2015-01-18,2
2015-01-25,2
2015-02-01,2
2015-02-08,3
2015-02-15,3
2015-02-22,2
2015-03-01,3
2015-03-08,3
2015-03-15,5
2015-03-22,3
2015-03-29,2
2015-04-05,2
2015-04-12,2
2015-04-19,3
2015-04-26,3
2015-05-03,4
2015-05-10,7
2015-05-17,9
2015-05-24,59
2015-05-31,12
2015-06-07,6
2015-06-14,5
2015-06-21,4
2015-06-28,4
2015-07-05,4
2015-07-12,5
2015-07-19,4
2015-07-26,4
2015-08-02,4
2015-08-09,5
2015-08-16,4
2015-08-23,4
2015-08-30,5
2015-09-06,4
2015-09-13,4
2015-09-20,5
2015-09-27,6
2015-10-04,4
2015-10-11,4
2015-10-18,4
2015-10-25,4
2015-11-01,4
2015-11-08,3
2015-11-15,4
2015-11-22,4
2015-11-29,4
2015-12-06,4
2015-12-13,3
2015-12-20,3
2015-12-27,3
2016-01-03,3
2016-01-10,4
2016-01-17,3
2016-01-24,3
2016-01-31,3
2016-02-07,3
2016-02-14,3
2016-02-21,3
2016-02-28,3
2016-03-06,5
2016-03-13,4
2016-03-20,4
2016-03-27,3
2016-04-03,6
2016-04-10,8
2016-04-17,10
2016-04-24,10
2016-05-01,12
2016-05-08,15
2016-05-15,66
2016-05-22,16
2016-05-29,10
2016-06-05,10
2016-06-12,10
2016-06-19,9
2016-06-26,7
2016-07-03,6
2016-07-10,5
2016-07-17,6
2016-07-24,5
2016-07-31,4
2016-08-07,5
2016-08-14,5
2016-08-21,5
2016-08-28,5
2016-09-04,6
2016-09-11,6
2016-09-18,6
2016-09-25,7
2016-10-02,8
2016-10-09,5
2016-10-16,5
2016-10-23,4
2016-10-30,5
2016-11-06,5
2016-11-13,6
2016-11-20,5
2016-11-27,5
2016-12-04,5
2016-12-11,5
2016-12-18,4
2016-12-25,3
2017-01-01,4
2017-01-08,5
2017-01-15,4
2017-01-22,5
2017-01-29,5
2017-02-05,5
2017-02-12,6
2017-02-19,6
2017-02-26,7
2017-03-05,6
2017-03-12,6
2017-03-19,6
2017-03-26,6
2017-04-02,7
2017-04-09,6
2017-04-16,6
2017-04-23,7
2017-04-30,8
2017-05-07,10
2017-05-14,8
